,none,ocs,ugt,ed,hosp
0,1,0,0,0,0
1,0.945914943,0.024127106,0.024955274,0.004335043,0.000667634
2,0.938527768,0.026513434,0.02742257,0.005200912,0.002335317
3,0.90088254,0.043085012,0.039682901,0.01168284,0.004666708
4,0.813580992,0.089176182,0.070973492,0.017283295,0.008986039
5,0.813580992,0.089176182,0.070973492,0.017283295,0.008986039
50,1,0,0,0,0
100,1,0,0,0,0
