,ind,cycle,start M,0,1,21,22,212,223,50,100
40009,9,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45009,9,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
10,10,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5010,10,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10010,10,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15010,10,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20010,10,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25010,10,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30010,10,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35010,10,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40010,10,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45010,10,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
11,11,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5011,11,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10011,11,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15011,11,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20011,11,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25011,11,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30011,11,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35011,11,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40011,11,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45011,11,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
12,12,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5012,12,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10012,12,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15012,12,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20012,12,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25012,12,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30012,12,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35012,12,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40012,12,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45012,12,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
13,13,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5013,13,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10013,13,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15013,13,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20013,13,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25013,13,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30013,13,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35013,13,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40013,13,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45013,13,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
14,14,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5014,14,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10014,14,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15014,14,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20014,14,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25014,14,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30014,14,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35014,14,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40014,14,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45014,14,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
15,15,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5015,15,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10015,15,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15015,15,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20015,15,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25015,15,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30015,15,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35015,15,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40015,15,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45015,15,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
16,16,1,21,0,0.6565,0.313007927,0.0101,0.0101,0.01,1.70E-05,0.000275073
5016,16,2,1,0,0.932399853,0.0575,0.00482,4.00E-04,0.004605,0,0.000275147
10016,16,3,1,0,0.932400086,0.0575,0.00482,4.00E-04,0.004605,0,0.000274914
15016,16,4,1,0,0.932400319,0.0575,0.00482,4.00E-04,0.004605,0,0.000274681
20016,16,5,1,0,0.932400551,0.0575,0.00482,4.00E-04,0.004605,0,0.000274449
25016,16,6,1,0,0.932400783,0.0575,0.00482,4.00E-04,0.004605,0,0.000274217
30016,16,7,1,0,0.932401015,0.0575,0.00482,4.00E-04,0.004605,0,0.000273985
35016,16,8,1,0,0.932401247,0.0575,0.00482,4.00E-04,0.004605,0,0.000273753
40016,16,9,1,0,0.932401479,0.0575,0.00482,4.00E-04,0.004605,0,0.000273521
45016,16,10,1,0,0.93240171,0.0575,0.00482,4.00E-04,0.004605,0,0.00027329
17,17,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5017,17,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10017,17,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15017,17,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20017,17,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25017,17,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30017,17,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35017,17,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40017,17,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45017,17,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
18,18,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5018,18,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10018,18,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15018,18,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20018,18,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25018,18,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30018,18,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35018,18,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40018,18,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45018,18,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
19,19,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5019,19,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10019,19,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15019,19,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20019,19,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25019,19,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30019,19,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35019,19,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40019,19,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45019,19,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
20,20,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5020,20,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10020,20,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15020,20,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20020,20,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25020,20,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30020,20,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35020,20,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40020,20,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
45020,20,10,0,0.99907671,0.00065,0,0,0,0,0,0.00027329
21,21,1,0,0.99907462,0.00065,0,0,0,0,0,0.00027538
5021,21,2,0,0.999074853,0.00065,0,0,0,0,0,0.000275147
10021,21,3,0,0.999075086,0.00065,0,0,0,0,0,0.000274914
15021,21,4,0,0.999075319,0.00065,0,0,0,0,0,0.000274681
20021,21,5,0,0.999075551,0.00065,0,0,0,0,0,0.000274449
25021,21,6,0,0.999075783,0.00065,0,0,0,0,0,0.000274217
30021,21,7,0,0.999076015,0.00065,0,0,0,0,0,0.000273985
35021,21,8,0,0.999076247,0.00065,0,0,0,0,0,0.000273753
40021,21,9,0,0.999076479,0.00065,0,0,0,0,0,0.000273521
